@relation answerExp2
@attribute AnswerType STRING
@attribute Question STRING
@data
"LOC:city" , "what be the capital city of the two large country that occupy the iberian peninsula in europe" 
"NUM:count" , "how many mine can still be find in the falklands after the war end" 
"NUM:count" , "how many gallon of water go over niagra fall every second" 
"HUM:ind" , "who be the first woman to run the mile in less than minute" 
"NUM:count" , "how many copy of an album must be sell for it to be a gold album" 
"HUM:ind" , "who award the fly fickle finger of fate" 
"LOC:city" , "in sinclair lewis main street what be the name of the typical american town" 
"LOC:city" , "what be the large city in texas" 
"HUM:ind" , "what future deer hunter portray annie hall neurotic brother duane" 
"LOC:other" , "where can i get a map of prussia on the internet" 
"LOC:country" , "what be the five rich country in the world" 
"LOC:other" , "where be mccarren airport" 
"HUM:ind" , "what be the top boy name in the" 
"NUM:count" , "how many tile do the space shuttle columbia lose on it second flight" 
"NUM:count" , "how many teaspoon make up a tablespoon" 
"HUM:ind" , "who be the lyricist and who be the composer between gilbert and sullivan" 
"HUM:ind" , "who be the lawyer for randy craft" 
"HUM:ind" , "who be the president of the united state" 
"HUM:ind" , "name dick tracy two child" 
"NUM:perc" , "what fraction of a beaver life be spend swim" 
"NUM:money" , "how much will gas be tax in california by the year" 
"HUM:ind" , "who give king arthur the round table" 
"LOC:state" , "what state in the united state cover the large area" 
"HUM:ind" , "who become president of the in" 
"HUM:ind" , "who write the scarlet letter" 
"HUM:ind" , "who do sara jane moore try to assassinate" 
"NUM:count" , "how many dot make up the symbol for because" 
"HUM:ind" , "which king sign the magna carta" 
"HUM:ind" , "name the child leave on a doorstep at the beginning of gasoline alley" 
"NUM:count" , "how many zip code be there in the" 
"NUM:period" , "how long do it take the milky way galaxy to make one revolution" 
"NUM:count" , "how many people own pet" 
"LOC:other" , "what web site be link to the report on genesis eldercare" 
"NUM:period" , "how long do it take different material to decompose" 
"NUM:count" , "how many color be there in a rainbow" 
"HUM:ind" , "what be darth vader son name" 
"HUM:ind" , "what british female pop sing star of the and early be a child actress in the and" 
"LOC:other" , "where be mccarren airport locate" 
"LOC:other" , "what part of britain comprise the highland central lowland and southern upland" 
"NUM:count" , "how many marx brother be there" 
"NUM:dist" , "how tall be the matterhorn" 
"LOC:country" , "what country be proud to claim volcano national park" 
"NUM:date" , "when be babe ruth bear" 
"HUM:ind" , "who portray field marshal erwin rommel in the desert fox" 
"LOC:other" , "what direction do most baseball pitcher pitch toward" 
"NUM:count" , "how many beanie baby site be there" 
"LOC:other" , "where be diamond mine" 
"NUM:money" , "how much money do the marcos steal from their country" 
"HUM:ind" , "who make the bra" 
"HUM:ind" , "who be archie bunker" 
"HUM:ind" , "what president become chief justice after his presidency" 
"NUM:count" , "how many inning constitute an official baseball game" 
"LOC:city" , "what city have a newspaper call the plain dealer" 
"LOC:state" , "what state boast leif ericson park" 
"NUM:count" , "how many flavor do baskin robbins offer" 
"HUM:ind" , "who be chief engineer of the starship enterprise" 
"HUM:ind" , "what mayor make so many tv appearance he be ask to join aftra in" 
"NUM:count" , "how much in mile be a ten k run" 
"NUM:date" , "when be beethoven born" 
"HUM:ind" , "who be the most sexy celebrity" 
"HUM:ind" , "what detective live on punchbowl hill and have child" 
"LOC:other" , "where do the ukulele originate" 
"HUM:ind" , "rotary engine use to be make by whom" 
"HUM:ind" , "who portray the title character in the film the day of the jackal" 
"LOC:other" , "what be the name of the gulf between sweden and finland" 
"HUM:ind" , "who be the first to die in battle" 
"HUM:ind" , "who be the president of ghana" 
"LOC:country" , "what two country be andorra nestle between" 
"NUM:period" , "how long ago be the roe wade decision by the supreme court" 
"LOC:mount" , "what be the four large mountain range in the continental united state" 
"NUM:other" , "what be the size of the student body at the university of massachusetts in amherst" 
"HUM:ind" , "who star in the movie the war of the world" 
"NUM:count" , "how many different kind of ice cream be there" 
"HUM:ind" , "what actor who have great fame on tv become the father of triplet" 
"LOC:other" , "what be the homelite home page" 
"NUM:code" , "what be columbia tristar phone number" 
"LOC:other" , "where be tesla bear" 
"HUM:ind" , "who shoot lee harvey oswald" 
"NUM:date" , "when do jaco pastorius die" 
"LOC:other" , "what the most common street name in america" 
"LOC:other" , "what be the top tall building in the world" 
"HUM:ind" , "who portray renaud in casablanca" 
"LOC:country" , "what country have problem with hooligan" 
"LOC:other" , "what planet do percival lovell discover" 
"NUM:count" , "how often be brain cell replace" 
"NUM:money" , "how much do mercury spend on advertising in" 
"LOC:country" , "what country contain the westernmost point in south america" 
"NUM:count" , "what the american dollar equivalent for pound in the" 
"NUM:date" , "what year do charles dicken die" 
"NUM:date" , "when do the last american leave vietnam" 
"HUM:ind" , "what famed clown appear on an early howdy doody show and insist that clarabell be make up a a real clown" 
"NUM:count" , "how many people die when the estonia sank in" 
"LOC:city" , "what southern california town be name after a character make famous by edgar rice burroughs" 
"NUM:count" , "how many color be there in a rainbow" 
"LOC:other" , "what be the habitat of the chickadee" 
"LOC:city" , "what city the kickoff point for climb of mount everest" 
"NUM:money" , "what be the average salary of a paleontologist" 
"LOC:other" , "where be the large post office building in the world" 
"HUM:ind" , "who be currently the most popular singer in the world" 
"NUM:count" , "how many endanger specie be there in the world" 
"LOC:city" , "which large city have the high murder rate for" 
"HUM:ind" , "who be the bandleader mentor of ella fitzgerald with whom she cowrote" 
"HUM:ind" , "who invent basketball" 
"NUM:date" , "when be the last major eruption of mount helen" 
"HUM:ind" , "what hockey player do ronald reagan joke he would swap texas for" 
"HUM:ind" , "what president be bury at his ancestral home overlook the hudson river at hyde park new york" 
"NUM:money" , "how much do the first barbie doll sell for in" 
"LOC:country" , "what country be general douglas mcarthur in when he be recall by president truman" 
"NUM:other" , "what be the latitude and longitude of el paso texas" 
"NUM:count" , "how many head injury be there in recreational ice skate each year" 
"NUM:count" , "a normal human pregnancy last how many month" 
"HUM:ind" , "who domesticate the wild turkey" 
"LOC:country" , "what country do ileana cotrubas come from" 
"LOC:country" , "what two european country be join by the gran san bernardo pas" 
"HUM:ind" , "what be the name of the u helicopter pilot shoot down over north korea" 
"HUM:ind" , "name the designer of the shoe that spawn million of plastic imitation know a jelly" 
"HUM:ind" , "who be olive oyl brother" 
"HUM:ind" , "what king boycott prince charles wedding" 
"HUM:ind" , "what be the nickname of model leslie hornby" 
"LOC:other" , "where be the taj mahal" 
"LOC:other" , "in the papal court be force to move from rome to where" 
"NUM:date" , "what be the first day of the week" 
"LOC:city" , "what capital be build around monument circle which contain soldier and sailor monument" 
"NUM:count" , "how many of them be in africa" 
"LOC:other" , "what famed wall support the badaling turret" 
"HUM:ind" , "who portray fatman in the television show jake and the fatman" 
"LOC:other" , "where be good science site on the internet" 
"HUM:ind" , "what woman be time man of the year for" 
"HUM:ind" , "who write the ugly duckling" 
"HUM:ind" , "who design london bridge" 
"NUM:count" , "how many mile be there between tel aviv israel and memphis tennessee" 
"NUM:count" , "how many flavor of ice cream do howard johnson have" 
"LOC:other" , "where be the busy amtrak rail station in the" 
"NUM:count" , "how many freckle do howdy doody have on his face" 
"HUM:ind" , "who be consider to be the father of psychology" 
"NUM:dist" , "how tall be the animated king kong" 
"NUM:other" , "what be the population of japan" 
"LOC:other" , "where be the large concentration camp in world war ii" 
"NUM:money" , "how much do alaska cost when buy from russia" 
"NUM:count" , "how many event make up the decathlon" 
"LOC:other" , "what be the first body visit by spacecraft" 
"HUM:ind" , "who succeed nikita khrushchev a first secretary of the communist party" 
"HUM:ind" , "who be choose to be the first black chairman of the military joint chief of staff" 
"HUM:ind" , "name of the lady the great gatsby pine for" 
"NUM:count" , "how many bail be there in a cricket wicket" 
"LOC:city" , "what city be martin luther king assassinate in" 
"HUM:ind" , "what celebrity couple when go through a divorce divide their toilet paper into two equal pile" 
"LOC:other" , "where the hotel" 
"HUM:ind" , "who say what contemptible scoundrel steal the cork from my lunch" 
"LOC:city" , "what be the capital of kosovo" 
"NUM:count" , "how many letter appear with the number to on a telephone dial" 
"LOC:city" , "what be the first three city to have a population of more than a million" 
"NUM:money" , "what be the minimum wage in" 
"LOC:country" , "what country be the big producer of tungsten" 
"NUM:date" , "when be the jimmy buffett concert come to the e center in camden nj" 
"LOC:country" , "what european country abandon postage stamp in because print them cost more than their face value" 
"HUM:ind" , "who be the president" 
"NUM:money" , "how much do varian associate try to sell it vacuum product division to the boc group for" 
"NUM:count" , "how many people hike" 
"HUM:ind" , "who play maria in the film west side story" 
"HUM:ind" , "who bestow great power upon captain britain" 
"LOC:country" , "what nationality be a sicilian" 
"HUM:ind" , "what be the most common boy or girl name" 
"HUM:ind" , "who be the accuse in the trial of the century which open janurary" 
"LOC:other" , "what be the old building in the united state" 
"NUM:count" , "how many people die on south carolina highway in" 
"NUM:date" , "what be president nixon birthdate" 
"NUM:count" , "how many people die in the vietnam war" 
"NUM:date" , "what year do montana become a state" 
"NUM:date" , "when be the ussr dissolve" 
"LOC:city" , "what japanese city be once call edo" 
"HUM:ind" , "who do the seven mule block for" 
"HUM:ind" , "what the name of the actress who star in the movie silence of the lamb" 
"LOC:other" , "where be one corpus callosum find" 
"HUM:ind" , "who do napolean defeat at jena and auerstadt" 
"HUM:ind" , "what british prime minister and president be seventh cousin" 
"NUM:count" , "how many object orbit the earth" 
"LOC:city" , "what the old capital city in the america" 
"LOC:other" , "what be the location of edinburgh scotland" 
"NUM:count" , "how many muscle do the average adult use when go for a walk" 
"NUM:period" , "how long do you have to live in a community to vote" 
"HUM:ind" , "what be the name of the titanic captain" 
"HUM:ind" , "name of heroine in scruple" 
"NUM:volsize" , "how big be the chappellet vineyard" 
"LOC:country" , "jackson pollock be a native of what country" 
"HUM:ind" , "who write the godfather" 
"NUM:other" , "what be the frequency of vhf" 
"LOC:other" , "what island be the target of the operation urgent fury" 
"HUM:ind" , "which of the following tv newsman be a rhodes scholar" 
"HUM:ind" , "what temperance advocate wield her hatchet on saloon" 
"NUM:count" , "how many island do fiji have" 
"HUM:ind" , "who invent volleyball" 
"LOC:country" , "what the most powerful country in the world" 
"HUM:ind" , "who lead the norman to victory in the battle of hastings" 
"NUM:perc" , "what percentage of the world plant and animal specie can be find in the amazon forest" 
"HUM:ind" , "what the name of the star of the cooking show gallop gourmet" 
"HUM:ind" , "who invent the horoscope" 
"HUM:ind" , "what king be force to agree to the magna carta" 
"NUM:count" , "how many electoral college vote do colorado have" 
"HUM:ind" , "what be babe ruth christian name" 
"NUM:count" , "how many bottle of wine be prisoner in the bastille allow per day" 
"LOC:other" , "where do lobster like to live" 
"HUM:ind" , "who be the first elected mayor of washington" 
"NUM:date" , "when be the big thompson flood" 
"HUM:ind" , "who write the trilogy foundation foundation and empire and second foundation" 
"NUM:count" , "how many hour of work do it take a typist to complete a screenplay" 
"HUM:ind" , "what be alice cooper real name" 
"LOC:city" , "what two city usually mark the extreme of english channel swim" 
"NUM:count" , "how many time do the tide ebb and flow each day" 
"HUM:ind" , "who invent television" 
"HUM:ind" , "name the person who burst through the screen in the lite beer commercial" 
"HUM:ind" , "what kill alexander hamilton in a duel" 
"NUM:temp" , "what the fahrenheit equivalent of zero degree centigrade" 
"NUM:count" , "how many muscle do an oyster have" 
"HUM:ind" , "who write much ado about nothing" 
"LOC:other" , "where can i get information concern child custody file for the state of utah" 
"HUM:ind" , "what louisiana senator win a seat that have be hold by his father and mother" 
"HUM:ind" , "who win oscar for her role in go with the wind and a streetcar name desire" 
"HUM:ind" , "what writer be famous for physically put himself into the center of his subject matter" 
"HUM:ind" , "who the lead singer of the lead zeppelin band" 
"HUM:ind" , "in dana two year before the mast what seafarers live in an abandon oven on the beach at san diego" 
"HUM:ind" , "who play the cop in the movie kindergarten cop" 
"NUM:count" , "how many character make up a word for type test purpose" 
"NUM:money" , "what be the annual salary for a boilermaker" 
"HUM:ind" , "who create billy pilgrim a survivor of the dresden firestorm" 
"LOC:country" , "what country saw the origin of the asian flu" 
"HUM:ind" , "who be the rich woman in the world" 
"LOC:other" , "where can i take a test that will tell me what i should be when i grow up" 
"LOC:other" , "what lake in scotland be say to hold one or more monster" 
"HUM:ind" , "who be the oscar winner" 
"HUM:ind" , "who write the book huckleberry finn" 
"HUM:ind" , "who would you use the heimlich maneuver on" 
"LOC:other" , "what famed library can you reach by dial" 
"LOC:other" , "where can i get a complete listing of showtime in my area" 
"LOC:other" , "where montenegro" 
"LOC:other" , "where be glasgow" 
"LOC:city" , "what north american city boast the big polish population" 
"HUM:ind" , "what radio tv and movie character do jackie gleason and william bendix play" 
"LOC:other" , "where be it plan to berth the merchant ship lane victory which merchant marine veteran be convert into a float museum" 
"NUM:period" , "what be maurizio pellegrin age" 
"NUM:count" , "how many thousand of student attend the university of massachusetts" 
"HUM:ind" , "name the senate majority leader and the speaker of the house" 
"HUM:ind" , "what female suspect in the game of clue be single" 
"HUM:ind" , "who own cnn" 
"NUM:count" , "about how many american be still unaccounted for from the vietnam war" 
"NUM:other" , "what be the chemical reactivity of neon" 
"LOC:other" , "what be the old website on the internet" 
"HUM:ind" , "what member of the little rascal have an sweetheart in darla hood" 
"LOC:country" , "what country be you visit if you land at president duvalier airport" 
"HUM:ind" , "what order the closing of alcatraz" 
"LOC:city" , "what be the capital of congo" 
"LOC:country" , "what be a country that start with the letter x" 
"LOC:country" , "what country earn the most from tourism" 
"LOC:city" , "which city in china have the large number of foreign financial company" 
"NUM:date" , "when be the oscar academy award in" 
"HUM:ind" , "who be the prophet of the jewish people" 
"HUM:ind" , "what be the most common name" 
"HUM:ind" , "who be the old president" 
"NUM:date" , "when be dubai first concrete house build" 
"HUM:ind" , "who be the prophet of the religion of islam" 
"HUM:ind" , "who portray maggio in the film from here to eternity" 
"LOC:other" , "where be zebras most likely find" 
"NUM:perc" , "what be the odds of give birth to twin" 
"LOC:other" , "what be the best place to live in the world consider climate civilization" 
"HUM:ind" , "name the cartoon genie conjure by the magic ring share by nancy and chuck" 
"NUM:money" , "what be the amount of money owe for illegally have a dog on a beach" 
"LOC:other" , "what be the web address at which i can find the address of a member of the u house of representative" 
"NUM:volsize" , "how big be the large diamond" 
"NUM:date" , "when do the original howdy doody show go off the air" 
"NUM:count" , "how many language be there in the world" 
"HUM:ind" , "who be the only two bald president" 
"HUM:ind" , "which member of charlie angel sing vocal for josie and the pussycat" 
"LOC:other" , "what river flow past the temple of karnak" 
"HUM:ind" , "what comedian be the perfect fool" 
"LOC:other" , "where do you find information about the queensland national competition policy" 
"HUM:ind" , "who love flash gordon besides dale" 
"LOC:other" , "where can i get information on the original u colony" 
"NUM:count" , "how many inch over six foot be tom selleck" 
"HUM:ind" , "who the only president bury in washington" 
"NUM:money" , "how much could you rent a volkswagen bug for in" 
"HUM:ind" , "whose sing voice be dub in for natalie wood in west side story and audrey hepburn in my fair lady" 
"NUM:money" , "what be the mean income of the top top and top" 
"LOC:city" , "what north american city sprout the most parking meter" 
"LOC:other" , "what be the large and most expensive freeway construction project in the right now" 
"LOC:other" , "where do gulliver find a race of tiny people" 
"NUM:count" , "how much strong be the new vitreous carbon material invent by the tokyo institute of technology compare with the material make from cellulose" 
"NUM:money" , "how much do tuberculosis combat drug cost" 
"HUM:ind" , "president bush compare saddam hussein to whom" 
"HUM:ind" , "what tv comedian work with white fang black tooth and pookie the lion" 
"HUM:ind" , "who create the character jam bond" 
"LOC:other" , "where do the japanese imperial force surrender to end wwii" 
"NUM:count" , "how many row of whisker do a cat have" 
"HUM:ind" , "what british general surrender to the colonial army at saratoga" 
"NUM:count" , "what be the world population a of today" 
"LOC:city" , "what city would you be in if you be feed the pigeon in the piazza san marco" 
"HUM:ind" , "what artist studio be the in montmartre" 
"LOC:other" , "what be the name of the planet that the ewoks live on" 
"NUM:count" , "how many word be there in the spanish language" 
"LOC:other" , "where be there information on the novel el cid" 
"NUM:count" , "how many member of a family could be draft in the military during world war ii" 
"HUM:ind" , "who write the song silent night" 
"NUM:date" , "what be the average date when most mall begin put up christmas holiday decoration" 
"NUM:count" , "how many character be in the chinese alphabet" 
"LOC:other" , "where be burma" 
"HUM:ind" , "who write the collector" 
"HUM:ind" , "who be samuel johnson friend and biographer" 
"HUM:ind" , "what kind of woman give sigmund freud erotic dream" 
"NUM:count" , "how many hummingbird egg could fit in one ostrich egg" 
"HUM:ind" , "who write the bestselling missionary travel and research in south africa publish in" 
"HUM:ind" , "who play the father on charles in charge" 
"NUM:period" , "what be the gestation period for human pregnancy" 
"LOC:other" , "where do the name daniel originate" 
"NUM:period" , "how long do the average domesticate ferret live" 
"LOC:state" , "what state do not have state income tax" 
"LOC:city" , "what city have the two steep street in the" 
"LOC:country" , "name the country of giant twelve time the size of man in gulliver travel" 
"NUM:other" , "what men par on a golf hole" 
"NUM:count" , "how many country be there" 
"LOC:other" , "where do most of the marijuana enter the united state come from" 
"HUM:ind" , "who be the top rich people in the world" 
"NUM:count" , "how many yard be in mile" 
"HUM:ind" , "what actor be the first man to appear on the cover of mccall" 
"NUM:date" , "when be the first successful heart transplant for a human" 
"LOC:country" , "what country boast cawdor castle glamis castle and blair castle" 
"LOC:country" , "what country be mount everest in" 
"LOC:country" , "which country be the large country in latin america" 
"HUM:ind" , "name the four horseman of the apocalypse" 
"NUM:count" , "how many watt make a kilowatt" 
"HUM:ind" , "what female faith healer write the inspirational book i believe in miracle" 
"LOC:other" , "where do king francis i hang the mona lisa when he own it" 
"HUM:ind" , "what famous team do radio ad for blue nun wine" 
"NUM:count" , "how many time have harold stassen announce a drive for the white house" 
"NUM:money" , "what be bottle cap with president picture inside worth" 
"LOC:other" , "where can i find the history of the hungarian language" 
"HUM:ind" , "who tramp through florida look for the fountain of youth" 
"NUM:date" , "in what day of the week do christmas fall on" 
"NUM:count" , "how many american soldier be station in south korea" 
"NUM:count" , "how many foot more than be the average height of the great wall of china" 
"NUM:period" , "how long ago do the anglican church part from the vatican" 
"NUM:money" , "how much do lucy van pelt originally charge for psychiatric session" 
"HUM:ind" , "who follow up his first two underwater thriller with the girl of the sea of cortez" 
"NUM:date" , "when be the parthenon build" 
"NUM:period" , "how long do a pig orgasm last" 
"LOC:state" , "what state come last in an alphabetical list" 
"NUM:count" , "how many mountain have be name for president in the continental usa" 
"NUM:other" , "what be the unemployment statistic for the year and" 
"HUM:ind" , "who be the one independent member of congress" 
"HUM:ind" , "what two president of the publish book of poetry" 
"HUM:ind" , "which of the seven dwarf come first alphabetically" 
"HUM:ind" , "what professional cricketer son write the war of the world in" 
"NUM:count" , "how many inch apart be adjacent pin in tenpin bowling" 
"NUM:count" , "how many mile of corridor be in the pentagon" 
"LOC:state" , "what state include the san juan island" 
"HUM:ind" , "what english playwright pen where the bee suck so shall i" 
"NUM:dist" , "how deep be a fathom" 
"HUM:ind" , "what be fred astaire dancing partner name" 
"NUM:count" , "what be the high number of home run on record for any one game" 
"HUM:ind" , "what heavyweight boxer be know a the wild bull of the pampas" 
"NUM:count" , "how many quart of whole milk be need to make one pound of butter" 
"LOC:other" , "what london street claim to be the world center for men tailoring" 
"NUM:period" , "how old be the universe" 
"NUM:date" , "when do the bible say the season start" 
"LOC:country" , "what border country be due north of costa rica" 
"LOC:country" , "what nation boarder mozambique" 
"NUM:date" , "the olympic game in which year allow nadia comaneci to become popular" 
"HUM:ind" , "what tv host lend his name to a line of men clothing" 
"NUM:count" , "how many people die of tuberculosis yearly" 
"HUM:ind" , "who invent the electric guitar" 
"LOC:city" , "what be the capital of california" 
"LOC:country" , "what country come last in an alphabetical list" 
"NUM:temp" , "how hot should the oven be when bake peachy oat muffin" 
"LOC:country" , "what country be the world lead supplier of cannabis" 
"HUM:ind" , "who be the president of pergament" 
"LOC:city" , "what city be the kentucky horse park near" 
"LOC:other" , "where do hillary clinton graduate college" 
"HUM:ind" , "what american naval officer break japan isolationist policy in" 
"HUM:ind" , "who give u the rolling writer" 
"HUM:ind" , "who write the secret life of walter mitty" 
"HUM:ind" , "who be the head of the world bank" 
"NUM:count" , "how many people do honda employ in the" 
"NUM:count" , "how much calcium should an adult female have daily" 
"HUM:ind" , "what be the most popular last name" 
"HUM:ind" , "who moderate the first tv debate" 
"HUM:ind" , "who portray george cohan in yankee doodle dandy" 
"NUM:date" , "when be nostradamus bear" 
"HUM:ind" , "who the only president to have win a pulitzer prize" 
"LOC:country" , "what be the country of origin for the name thomas" 
"NUM:count" , "what be the population of the large chilean city" 
"LOC:country" , "what country have the high per caput consumption of cheese" 
"HUM:ind" , "who invent the muppets" 
"LOC:other" , "what sea be bombay on" 
"HUM:ind" , "what fool be not so wise to lose an oath to win a paradise" 
"LOC:other" , "where in the america be it only mile from the atlantic to the pacific" 
"NUM:dist" , "how tall be the animated frankenstein" 
"LOC:city" , "what city be know a the rubber capital of the world" 
"LOC:country" , "what country have the high ratio of university student" 
"NUM:count" , "how many mile be it from ny to austria" 
"NUM:volsize" , "how big be the universe actually" 
"HUM:ind" , "what monarch sign the magna carta" 
"NUM:count" , "how many side do a heptagon have" 
"LOC:other" , "where be there aborigine" 
"LOC:other" , "on what river be rome build" 
"LOC:other" , "where on the web be adventours tour from sydney australia" 
"LOC:other" , "where be the summer olympics hold" 
"LOC:other" , "what cathedral be thomas becket murder in" 
"LOC:city" , "the kentucky horse park be close to which american city" 
"NUM:period" , "how old be sir edmund hillary when he climb mt everest" 
"LOC:other" , "where in a tree do photosynthesis occur" 
"LOC:other" , "what strait link the mediterranean sea and the atlantic ocean" 
"LOC:other" , "what airport be on the piccadilly subway line" 
"NUM:code" , "what seven digit follow the area code in the number for long distance information" 
"LOC:city" , "what city airport be name logan international" 
"HUM:ind" , "what pope inaugurate vatican international radio" 
"NUM:count" , "how many time more than" 
"NUM:count" , "how many name be there for eskimo people" 
"HUM:ind" , "what king be satirize in the line the king be in the countinghouse count all his money" 
"LOC:state" , "what be the nickname of pennsylvania" 
"NUM:date" , "when be the first stained glass window make" 
"HUM:ind" , "what pope inaugurate vatican international radio" 
"HUM:ind" , "what director make one silent and one sound version of the ten commandment" 
"NUM:date" , "when do swim become commonplace" 
"HUM:ind" , "which president of the usa be mason" 
"HUM:ind" , "who be the tall president" 
"LOC:other" , "what be the large museum in the world" 
"HUM:ind" , "what character in the beverly hillbilly have the give name daisy moses" 
"HUM:ind" , "what comedienne call her captain bligh and her moby dick" 
"NUM:count" , "how many gallon of paint do it take to paint the golden gate bridge" 
"HUM:ind" , "what president also become a supreme court justice" 
"NUM:date" , "when do menstruation begin" 
"LOC:other" , "where do makeup originate" 
"NUM:dist" , "how deep be a fathom" 
"LOC:state" , "what state be mammoth cave national park in" 
"HUM:ind" , "who be actress june havoc legendary sister" 
"NUM:other" , "what be the chromosome number of an elephant" 
"HUM:ind" , "who kill jfk" 
"HUM:ind" , "who be the star witness at the senate watergate hearing" 
"LOC:country" , "in what country be a tongue a friendly greeting" 
"HUM:ind" , "who be the of everett dirkson who be also a senator in the" 
"LOC:other" , "where be erykah badu originally from" 
"LOC:other" , "where can i buy a pony on the big island for my daughter" 
"NUM:period" , "how old be george washington when he die" 
"NUM:count" , "how many black serve in the vietnam war" 
"HUM:ind" , "what be the last name of gangster bonnie and clyde" 
"LOC:other" , "what be the address of the famous mexican star thalia" 
"HUM:ind" , "who invent panty" 
"HUM:ind" , "what president have never hold an elected office until he be elect to the white house" 
"HUM:ind" , "who be the rich person in the world" 
"NUM:count" , "how much time do the blinking of an eye take" 
"NUM:dist" , "how deep be a fathom" 
"NUM:date" , "when do the use of the syringe first appear in medicinal history" 
"NUM:count" , "how many people visit the pope each month" 
"LOC:other" , "what planet give bith to superman" 
"NUM:date" , "what month of the year be there no television in iceland" 
"HUM:ind" , "who be bury in the great pyramid of giza" 
"LOC:country" , "what be the most important nation in the world historically" 
"NUM:perc" , "what be the current unemployment rate in the" 
"NUM:date" , "when be the first railroad from the east coast to the west coast complete" 
"NUM:speed" , "how fast can a corvette go" 
"HUM:ind" , "what famous actress make her first appearance on stage at the age of five in the year a baby" 
"NUM:money" , "how much do a mcdonald hamburger cost in" 
"LOC:other" , "where be the group m people from" 
"LOC:country" , "what country be famous for persian rug" 
"NUM:count" , "how many be in attendance at the last supper" 
"NUM:period" , "how long should you fee your puppy purina puppy chow" 
"LOC:city" , "what city be grace by the arch of titus" 
"HUM:ind" , "what be michael jackson father name" 
"HUM:ind" , "who be the girl in peter seller soup" 
"HUM:ind" , "what creative genius say everything come to him who hustle while he wait" 
"LOC:other" , "where be the world most active volcano locate" 
"LOC:country" , "what country be bound in part by the indian ocean and coral and tasman sea" 
"NUM:count" , "how many people do randy steven craft murder" 
"NUM:count" , "how many small business be there in the united state" 
"HUM:ind" , "who be ben casey bos" 
"HUM:ind" , "what multitalented director fail a college course in production" 
"LOC:other" , "where be ayer rock" 
"NUM:date" , "when be the berlin wall erect" 
"NUM:date" , "when be cigarette advertising ban on television and radio" 
"HUM:ind" , "what wild and crazy guy write a book call cruel shoe" 
"LOC:city" , "what city theatrical district have be dub the roar forty" 
"NUM:temp" , "what should the temperature be set at while bake peachy oat muffin" 
"NUM:count" , "how many home run do babe ruth hit in his lifetime" 
"HUM:ind" , "who be in death of a salesman original movie not" 
"HUM:ind" , "what be ruth last name" 
"LOC:other" , "where be george washington bear" 
"NUM:count" , "how many color be there in the spectrum" 
"HUM:ind" , "what the middle name of movie producer joseph levine" 
"LOC:country" , "what two caribbean country share the island of hispaniola" 
"HUM:ind" , "who tell all in ball four" 
"HUM:ind" , "who follow willy brandt a chancellor of the federal republic of germany" 
"LOC:mount" , "what continent peak be mont blanc" 
"LOC:city" , "what peruvian city be home to the mummify body of francisco pizarro" 
"NUM:date" , "when do french revolutionary storm the bastille" 
"NUM:count" , "how many men die build the mackinaw bridge" 
"HUM:ind" , "what name do the world know renaissance artist kyriakos theotokopoulos by" 
"HUM:ind" , "who be the president of bolivia" 
"LOC:country" , "what nationality be gorbachev" 
"HUM:ind" , "who play the title role in the romantic englishwoman" 
"HUM:ind" , "what president once tell gene autry please give my regard to your wife dale" 
"HUM:ind" , "who make the deodorant that claim that it actually build up resistance to odor" 
"HUM:ind" , "who use a an election slogan" 
"NUM:period" , "how long do you have to pay back debt after claim chapter bankruptcy" 
"LOC:other" , "what ocean surround the maldive island" 
"LOC:country" , "what south american country win it first world cup soccer title in" 
"NUM:count" , "how many cullions do a male have" 
"HUM:ind" , "what painter popularize soup can and brillo soap pad box" 
"HUM:ind" , "who play lucas mccain on the rifleman" 
"LOC:other" , "what colorful sea region do greek legend say the amazon live near" 
"HUM:ind" , "who be the only person convict in the my lai massacre" 
"LOC:other" , "on what continent be mozambique" 
"HUM:ind" , "who be the lawyer who represent randy steven craft" 
"HUM:ind" , "what part do benjamin franklin play in the development of the newspaper in america" 
"NUM:date" , "when be microsoft establish" 
"NUM:date" , "when do president kennedy lee harvey oswald and jack ruby all die" 
"LOC:other" , "what be the location of procter gamble corporate office" 
"LOC:state" , "what state be know a the hawkeye state" 
"HUM:ind" , "who be the prime minister of australia" 
"LOC:state" , "what be all the southern state of the" 
"LOC:other" , "what do the river seine empty into" 
"LOC:state" , "what state do anita bryant represent in the miss america contest" 
"NUM:count" , "how many soldier be involve in the last panama invasion by the united state of america" 
"NUM:count" , "how many propeller help power the plane the wright brother fly into history" 
"HUM:ind" , "who die with more than patent to his credit" 
"HUM:ind" , "what be the name of randy steven craft lawyer" 
"HUM:ind" , "who win the first general election for president hold in malawi in may" 
"LOC:other" , "where be south bend" 
"LOC:country" , "what country have the most coastline" 
"LOC:state" , "what two state be washington between" 
"NUM:date" , "in what year do joe dimaggio compile his hitting streak" 
"NUM:date" , "what year be the setting for american graffiti" 
"NUM:date" , "when do the art of quilt begin" 
"NUM:money" , "how much do the investigation cost" 
"HUM:ind" , "what argentine revolutionary fought with castro and die in bolivia in may" 
"LOC:other" , "what botanical marvel do nebuchadnezzar build" 
"HUM:ind" , "what famous comic strip character die of acne" 
"NUM:count" , "how many john deere tractor have be manufacture" 
"NUM:date" , "when do communist control end in hungary" 
"HUM:ind" , "what have be the most common christian name of president" 
